iter	Passed	Remaining
170	1317	6385
171	1324	6374
172	1330	6361
173	1337	6350
174	1344	6338
175	1351	6327
176	1358	6315
177	1364	6301
178	1371	6290
179	1378	6279
180	1384	6265
181	1391	6253
182	1398	6242
183	1404	6230
184	1411	6217
185	1417	6204
186	1424	6192
187	1431	6183
188	1437	6169
189	1444	6156
190	1452	6150
191	1459	6140
192	1466	6130
193	1473	6122
194	1480	6111
195	1486	6098
196	1493	6087
197	1499	6074
198	1506	6063
199	1513	6052
200	1520	6044
201	1527	6035
202	1536	6030
203	1544	6027
204	1553	6024
205	1561	6017
206	1570	6015
207	1579	6015
208	1588	6012
209	1597	6009
210	1606	6007
211	1614	6000
212	1623	5997
213	1630	5988
214	1637	5980
215	1645	5973
216	1653	5965
217	1660	5956
218	1669	5953
219	1678	5952
220	1688	5950
221	1697	5947
222	1706	5945
223	1714	5940
224	1723	5937
225	1732	5932
226	1740	5928
227	1749	5923
228	1758	5920
229	1767	5916
230	1775	5909
231	1783	5904
232	1791	5898
233	1800	5893
234	1808	5888
235	1817	5883
236	1826	5878
237	1833	5871
238	1841	5864
239	1850	5858
240	1858	5852
241	1866	5845
242	1874	5839
243	1882	5832
244	1890	5826
245	1898	5819
246	1906	5812
247	1914	5805
248	1923	5800
249	1931	5793
250	1938	5785
251	1947	5779
252	1955	5774
253	1963	5768
254	1972	5763
255	1981	5759
256	1990	5753
257	1998	5748
258	2007	5742
259	2015	5736
260	2023	5729
261	2031	5722
262	2039	5715
263	2047	5709
264	2055	5700
265	2063	5694
266	2071	5687
267	2079	5679
268	2087	5673
269	2095	5666
270	2103	5658
271	2111	5651
272	2119	5644
273	2127	5637
274	2135	5629
275	2143	5622
276	2152	5617
277	2160	5611
278	2169	5605
279	2176	5597
280	2185	5591
281	2193	5585
282	2201	5577
283	2209	5570
284	2217	5563
285	2225	5556
286	2233	5549
287	2242	5543
288	2251	5538
289	2259	5531
290	2266	5523
291	2274	5515
292	2282	5507
293	2289	5499
294	2297	5490
295	2306	5485
296	2314	5478
297	2322	5471
298	2331	5465
299	2339	5459
300	2348	5453
301	2355	5445
302	2363	5436
303	2371	5428
304	2378	5419
305	2385	5410
306	2393	5402
307	2400	5394
308	2409	5387
309	2417	5381
310	2425	5374
311	2433	5367
312	2442	5361
313	2450	5354
314	2459	5347
315	2466	5339
316	2474	5331
317	2482	5324
318	2490	5317
319	2497	5307
320	2504	5298
321	2512	5289
322	2519	5280
323	2526	5271
324	2533	5261
325	2540	5252
326	2547	5243
327	2555	5234
328	2562	5225
329	2569	5216
330	2576	5208
331	2584	5200
332	2591	5191
333	2599	5182
334	2606	5173
335	2613	5165
336	2621	5156
337	2628	5147
338	2635	5138
339	2642	5129
340	2649	5120
341	2656	5110
342	2662	5100
343	2670	5091
344	2677	5082
345	2684	5073
346	2691	5065
347	2698	5056
348	2706	5048
349	2714	5041
350	2722	5033
351	2729	5024
352	2736	5016
353	2743	5007
354	2751	4999
355	2758	4989
356	2764	4979
357	2771	4970
358	2778	4960
359	2784	4951
360	2791	4941
361	2798	4932
362	2805	4922
363	2811	4913
364	2819	4904
365	2826	4895
366	2833	4887
367	2840	4878
368	2847	4869
369	2854	4860
370	2861	4851
371	2868	4842
372	2875	4833
373	2882	4825
374	2889	4816
375	2897	4808
376	2904	4799
377	2912	4791
378	2919	4783
379	2926	4774
380	2933	4765
381	2941	4757
382	2947	4748
383	2954	4739
384	2961	4730
385	2968	4721
386	2975	4712
387	2982	4704
388	2989	4695
389	2996	4686
390	3003	4678
391	3010	4669
392	3017	4660
393	3024	4651
394	3031	4642
395	3038	4635
396	3046	4626
397	3054	4619
398	3061	4610
399	3067	4601
400	3074	4592
401	3081	4583
402	3088	4575
403	3096	4568
404	3103	4559
405	3110	4551
406	3118	4543
407	3125	4535
408	3132	4526
409	3140	4518
410	3147	4510
411	3154	4501
412	3161	4493
413	3168	4485
414	3175	4476
415	3182	4468
416	3189	4459
417	3197	4451
418	3204	4443
419	3211	4434
420	3217	4425
421	3224	4416
422	3231	4408
423	3239	4401
424	3246	4392
425	3253	4383
426	3261	4376
427	3268	4368
428	3275	4359
429	3282	4351
430	3290	4343
431	3297	4335
432	3305	4328
433	3312	4319
434	3319	4311
435	3326	4302
436	3334	4295
437	3340	4286
438	3347	4277
439	3354	4269
440	3361	4261
441	3370	4254
442	3377	4247
443	3384	4238
444	3391	4229
445	3399	4223
446	3407	4215
447	3414	4206
448	3421	4198
449	3429	4191
450	3436	4182
451	3443	4174
452	3450	4166
453	3456	4157
454	3464	4149
455	3471	4141
456	3479	4134
457	3486	4125
458	3493	4117
459	3500	4109
460	3506	4100
461	3513	4091
462	3520	4082
463	3526	4074
464	3533	4065
465	3540	4057
466	3548	4049
467	3556	4042
468	3562	4033
469	3568	4023
470	3575	4015
471	3582	4007
472	3589	3999
473	3596	3991
474	3602	3982
475	3609	3972
476	3615	3963
477	3622	3955
478	3629	3947
479	3636	3939
480	3644	3931
481	3651	3923
482	3658	3915
483	3665	3907
484	3671	3898
485	3679	3891
486	3686	3883
487	3693	3875
488	3700	3867
489	3708	3859
490	3716	3852
491	3724	3845
492	3731	3837
493	3739	3830
494	3746	3822
495	3753	3814
496	3762	3807
497	3769	3799
498	3775	3791
499	3782	3782
500	3789	3774
501	3796	3766
502	3804	3758
503	3811	3750
504	3818	3742
505	3825	3734
506	3832	3726
507	3839	3718
508	3847	3711
509	3854	3703
510	3861	3695
511	3870	3689
512	3878	3682
513	3885	3674
514	3893	3666
515	3900	3658
516	3906	3649
517	3913	3641
518	3920	3633
519	3927	3625
520	3934	3617
521	3940	3608
522	3947	3600
523	3953	3591
524	3959	3582
525	3965	3573
526	3972	3565
527	3978	3556
528	3984	3547
529	3991	3539
530	3998	3531
531	4004	3523
532	4012	3515
533	4019	3508
534	4026	3499
535	4033	3491
536	4039	3482
537	4045	3474
538	4052	3466
539	4059	3458
540	4066	3450
541	4073	3442
542	4079	3433
543	4086	3425
544	4093	3417
545	4100	3409
546	4106	3400
547	4113	3392
548	4119	3384
549	4126	3375
550	4132	3367
551	4138	3358
552	4144	3350
553	4152	3342
554	4158	3334
555	4165	3326
556	4173	3318
557	4179	3310
558	4186	3302
559	4192	3294
560	4199	3286
561	4206	3278
562	4212	3269
563	4219	3261
564	4225	3253
565	4231	3245
566	4238	3236
567	4244	3228
568	4251	3220
569	4257	3211
570	4263	3203
571	4270	3195
572	4277	3187
573	4284	3179
574	4291	3171
575	4299	3164
576	4306	3156
577	4312	3148
578	4319	3140
579	4326	3133
580	4333	3125
581	4340	3117
582	4347	3109
583	4354	3101
584	4361	3093
585	4367	3085
586	4375	3078
587	4381	3070
588	4388	3062
589	4395	3054
590	4401	3046
591	4408	3038
592	4415	3030
593	4423	3023
594	4430	3015
595	4437	3007
596	4444	3000
597	4451	2992
598	4458	2984
599	4465	2976
600	4471	2968
601	4478	2960
602	4485	2953
603	4492	2945
604	4500	2938
605	4507	2930
606	4514	2922
607	4521	2915
608	4528	2907
609	4535	2899
610	4542	2891
611	4549	2884
612	4555	2875
613	4562	2868
614	4569	2860
615	4576	2852
616	4585	2846
617	4592	2838
618	4599	2830
619	4606	2823
620	4614	2816
621	4621	2808
622	4627	2800
623	4634	2792
624	4641	2784
625	4647	2776
626	4654	2769
627	4661	2761
628	4668	2753
629	4674	2745
630	4682	2737
631	4689	2730
632	4696	2722
633	4703	2715
634	4709	2707
635	4716	2699
636	4723	2691
637	4730	2684
638	4737	2676
639	4744	2668
640	4751	2660
641	4757	2652
642	4763	2644
643	4770	2637
644	4776	2629
645	4782	2620
646	4789	2613
647	4797	2605
648	4804	2598
649	4810	2590
650	4816	2582
651	4823	2574
652	4829	2566
653	4836	2558
654	4844	2551
655	4851	2544
656	4858	2536
657	4865	2529
658	4873	2521
659	4880	2514
660	4887	2506
661	4893	2498
662	4900	2490
663	4906	2483
664	4913	2475
665	4920	2467
666	4927	2460
667	4934	2452
668	4941	2444
669	4947	2436
670	4954	2429
671	4960	2421
672	4966	2413
673	4973	2405
674	4980	2397
675	4986	2390
676	4993	2382
677	5000	2374
678	5007	2367
679	5014	2359
680	5021	2352
681	5028	2344
682	5035	2337
683	5042	2329
684	5048	2321
685	5055	2313
686	5061	2306
687	5068	2298
688	5074	2290
689	5081	2282
690	5087	2275
691	5095	2268
692	5102	2260
693	5108	2252
694	5115	2244
695	5121	2236
696	5128	2229
697	5136	2222
698	5143	2214
699	5151	2207
700	5158	2200
701	5164	2192
702	5171	2184
703	5178	2177
704	5185	2169
705	5191	2162
706	5198	2154
707	5204	2146
708	5210	2138
709	5217	2131
710	5223	2123
711	5230	2115
712	5236	2107
713	5242	2099
714	5248	2092
715	5254	2084
716	5260	2076
717	5266	2068
718	5272	2060
719	5278	2052
720	5285	2045
721	5291	2037
722	5297	2029
723	5303	2021
724	5310	2014
725	5316	2006
726	5322	1998
727	5328	1990
728	5334	1982
729	5341	1975
730	5347	1967
731	5353	1960
732	5359	1952
733	5365	1944
734	5371	1936
735	5377	1928
736	5383	1921
737	5389	1913
738	5395	1905
739	5401	1897
740	5407	1890
741	5413	1882
742	5419	1874
743	5425	1866
744	5431	1859
745	5437	1851
746	5444	1843
747	5450	1836
748	5456	1828
749	5462	1820
750	5468	1813
751	5474	1805
752	5480	1797
753	5487	1790
754	5493	1782
755	5499	1774
756	5505	1767
757	5512	1759
758	5517	1752
759	5523	1744
760	5529	1736
761	5535	1728
762	5541	1721
763	5547	1713
764	5553	1706
765	5560	1698
766	5566	1690
767	5572	1683
768	5577	1675
769	5583	1667
770	5589	1660
771	5595	1652
772	5601	1645
773	5608	1637
774	5614	1629
775	5620	1622
776	5627	1615
777	5633	1607
778	5638	1599
779	5644	1592
780	5650	1584
781	5656	1576
782	5662	1569
783	5668	1561
784	5674	1554
785	5680	1546
786	5686	1539
787	5692	1531
788	5698	1523
789	5704	1516
790	5710	1508
791	5716	1501
792	5721	1493
793	5727	1485
794	5733	1478
795	5739	1471
796	5745	1463
797	5751	1455
798	5757	1448
799	5764	1441
800	5770	1433
801	5776	1426
802	5782	1418
803	5788	1411
804	5794	1403
805	5800	1396
806	5807	1388
807	5812	1381
808	5819	1373
809	5825	1366
810	5831	1359
811	5837	1351
812	5844	1344
813	5850	1336
814	5856	1329
815	5862	1321
816	5868	1314
817	5874	1307
818	5880	1299
819	5886	1292
820	5892	1284
821	5898	1277
822	5905	1269
823	5910	1262
824	5916	1255
825	5922	1247
826	5928	1240
827	5934	1232
828	5939	1225
829	5945	1217
830	5951	1210
831	5957	1202
832	5963	1195
833	5969	1188
834	5975	1180
835	5981	1173
836	5987	1166
837	5993	1158
838	5999	1151
839	6005	1143
840	6011	1136
841	6017	1129
842	6023	1121
843	6029	1114
844	6035	1107
845	6041	1099
846	6047	1092
847	6053	1085
848	6059	1077
849	6065	1070
850	6072	1063
851	6079	1055
852	6085	1048
853	6091	1041
854	6097	1034
855	6103	1026
856	6109	1019
857	6115	1012
858	6121	1004
859	6127	997
860	6133	990
861	6139	982
862	6145	975
863	6151	968
864	6156	960
865	6162	953
866	6168	946
867	6174	939
868	6180	931
869	6186	924
870	6192	917
871	6199	910
872	6205	902
873	6211	895
874	6217	888
875	6223	880
876	6229	873
877	6235	866
878	6241	859
879	6247	851
880	6253	844
881	6259	837
882	6265	830
883	6271	822
884	6277	815
885	6284	808
886	6290	801
887	6297	794
888	6303	786
889	6309	779
890	6314	772
891	6320	765
892	6328	758
893	6334	751
894	6340	743
895	6346	736
896	6352	729
897	6358	722
898	6364	714
899	6370	707
900	6376	700
901	6382	693
902	6387	686
903	6393	678
904	6399	671
905	6404	664
906	6410	657
907	6416	650
908	6422	643
909	6429	635
910	6435	628
911	6440	621
912	6446	614
913	6452	607
914	6458	599
915	6463	592
916	6471	585
917	6477	578
918	6482	571
919	6488	564
920	6494	557
921	6500	549
922	6506	542
923	6511	535
924	6517	528
925	6523	521
926	6529	514
927	6535	507
928	6541	499
929	6547	492
930	6553	485
931	6559	478
932	6565	471
933	6571	464
934	6577	457
935	6583	450
936	6589	443
937	6595	435
938	6601	428
939	6607	421
940	6613	414
941	6619	407
942	6625	400
943	6632	393
944	6638	386
945	6644	379
946	6650	372
947	6656	365
948	6662	358
949	6668	350
950	6674	343
951	6680	336
952	6686	329
953	6692	322
954	6698	315
955	6704	308
956	6710	301
957	6716	294
958	6722	287
959	6727	280
960	6733	273
961	6740	266
962	6746	259
963	6752	252
964	6758	245
965	6764	238
966	6770	231
967	6776	224
968	6782	216
969	6787	209
970	6793	202
971	6799	195
972	6806	188
973	6811	181
974	6817	174
975	6823	167
976	6828	160
977	6834	153
978	6840	146
979	6846	139
980	6852	132
981	6858	125
982	6864	118
983	6870	111
984	6877	104
985	6883	97
986	6890	90
987	6896	83
988	6902	76
989	6908	69
990	6914	62
991	6920	55
992	6926	48
993	6932	41
994	6938	34
995	6944	27
996	6950	20
997	6956	13
998	6963	6
999	6968	0
